video_id,video_title,upload_date,view_count,like_count,comment_count
tfN10IUX9Lo,Web Apps in R: Building your First Web Application in R | Shiny Tutorial Ep 1,2020-01-16,111804,3072,165
BOk1hlCPW0c,Data Science 101: Overview of Machine Learning Model Building Process,2020-01-12,17972,662,80
CMTlVuq6Wgw,Machine Learning in R: Speed up Model Building with Parallel Computing,2020-01-08,7718,221,26
toRjEdNf0Hs,Data Pre-processing in R: Handling Missing Data,2020-01-04,18792,370,69
VzXfPCTHRTg,Machine Learning in R: Deploy Machine Learning Model using RDS,2020-01-01,5374,125,19
jMrp6XfYIyk,Data Science 101: Deploying your Machine Learning Model,2019-12-27,49044,1205,41
3tfMP3YCyMM,Machine Learning in R: Repurpose Machine Learning Code for New Data,2019-12-24,2783,66,9
dRqtLxZVRuw,Machine Learning in R: Building a Classification Model,2019-12-21,26627,597,94
do9yrLrv7a4,Exploratory Data Analysis in R: Quick Dive into Data Visualization,2019-12-17,9069,202,17
JW5Ug6NQexg,Exploratory Data Analysis in R: Towards Data Understanding,2019-12-14,47995,880,58
qXrj1wl4Rg0,"R Programming 101: Setting up R programming environment (R, RStudio and RStudio.cloud)",2019-12-10,11846,192,18
do9yrLrv7a4,Exploratory Data Analysis in R: Quick Dive into Data Visualization,2019-12-17,9069,202,17
JW5Ug6NQexg,Exploratory Data Analysis in R: Towards Data Understanding,2019-12-14,47995,880,58
qXrj1wl4Rg0,"R Programming 101: Setting up R programming environment (R, RStudio and RStudio.cloud)",2019-12-10,11846,192,18
fCXBaEnPzgo,Building your Data Science Portfolio with GitHub (Data Science 101),2019-12-08,62974,1609,55
7XdoaQYwTeA,Strategies for Learning Data Science in 2020 (Data Science 101),2019-12-05,37956,1198,162
SZj55PihnBs,Data Science 101: Basic Command-Line for Data Science,2019-11-30,3314,90,9
vLG1h5fHTjQ,R Programming 101: Read and Write CSV files,2019-11-26,2373,53,13
HRycEYpJ5Zc,R Programming 101: How to Define Variables,2019-11-23,2663,57,6
sFBgP56XgX0,Data Science 101: CRISP-DM - Data Mining / Data Science in 6 Steps,2019-11-19,2271,29,3
TXVa_zaUDc0,Data Science 101: Starting a Data Science / Data Mining Project,2019-11-16,2681,36,3
vowi8VCeC40,Quotes #5 on Big Data and Data Science,2019-11-10,454,11,4
at7dVTRlTh4,Quotes #4 on Big Data and Data Science,2019-11-06,437,8,4
HY1AQSRipck,Quotes #3 on Big Data and Data Science,2019-11-05,480,9,4
BdorkPnkMlY,Quotes #2 on Big Data and Data Science,2019-10-31,650,11,3
hrzc9ZnY09E,Quotes #1 on Big Data and Data Science,2019-10-20,1636,27,4
uoVAd_zd-90,Computational Drug Discovery: Machine Learning for Making Sense of Big Data in Drug Discovery,2019-10-02,24436,726,70
77ggqTODduQ,WEKA Tutorial #1.3 - How to Build a Data Mining Model from Scratch,2019-09-07,3078,58,12
U_WEKreNuA4,WEKA Tutorial #1.2 - How to Build a Data Mining Model from Scratch,2019-09-01,6944,105,9
GzrmsiBsGVI,WEKA Tutorial #1.1 - How to Build a Data Mining Model from Scratch,2019-08-29,14544,231,11
IYHrZx0G12w,How a Biologist became a Data Scientist,2019-08-20,44960,1171,183
