video_id,video_title,upload_date,view_count,like_count,comment_count
Ndj3cBVh23c,Using Mito to make Machine Learning Easier,2021-10-29,3096,88,10
WRxCQWfZ6Mc,Streamlit 101 - How to clone and reproduce a Streamlit web app from SCRATCH,2021-10-26,3910,85,7
KDcz2mF3Yuk,Streamlit 101 - How to setup your Streamlit working environment,2021-10-20,12642,145,2
PUeoB2L2WfU,How to Use Mito for Data Analysis in Python,2021-10-15,4652,167,17
ij1mBDgskIk,The upcoming NVIDIA GTC is FREE + Giveaways (Swag Bag and Course Credits),2021-10-11,2315,67,65
_GtEgiWWyK4,Call for Participation in the Open Bioinformatics Research Project,2021-10-10,22725,853,167
hoPvOIJvrb8,Is it Possible to Add a Navigation Bar to Streamlit Apps? | Streamlit #29,2021-10-03,22023,413,30
CkcJ9_dpjqw,How to build a Cryptocurrency Price App in Python using Binance API | Streamlit #28,2021-10-02,11388,280,59
RL25hgfLd8Q,An Introduction to Computational Drug Discovery,2021-09-25,34597,1177,91
dYBMVTqM86U,How to automatically clean data with BitRook,2021-09-22,3145,169,18
LHsp8ns9DkM,How to use Mito to automatically generate Python code for data visualization,2021-09-18,5475,180,14
o_mnbn8nFL8,How to build machine learning models for imbalanced datasets,2021-09-14,5847,203,24
9zBzLkuFz8k,Data Science Podcast with Pat Walters (Cheminformatics Scientist),2021-09-10,4433,171,30
V6XFj5PltoM,How to automate data processing in Python with Mito,2021-09-07,7535,257,41
uPg7PEdx7WA,Data Science Podcast with Tyler Richards (Facebook Data Scientist),2021-09-04,3087,113,29
53x330upumY,Building and deploying your first machine learning app in Python using Gradio,2021-09-01,11109,346,42
6gLhxlOn_Jk,Top 5 Python Libraries for Data Visualization (Ft. @CodingProfessor),2021-08-29,5388,235,12
i-k7G6wN96o,Building a Simple Digits Image Classification Model,2021-08-25,3231,96,17
L4Pv6ExBQPM,How to Monitor Machine Learning Models (Evidently AI),2021-08-21,11634,307,22
Ij88ejc0vcI,FLAML - The AutoML from Microsoft (Machine Learning Models in 3 Lines of Code),2021-08-17,6085,212,17
mX8ctLGR_FY,How to write a great looking research article using LaTeX on Overleaf,2021-08-13,33312,693,61
M4443AU70VE,Podcast with Minhaaj Rehman on Data Science and Psychology,2021-08-10,1749,62,11
PxXMNC_i0_c,DataPrep Python library for Easy Data Preparation and EDA,2021-08-07,9196,304,33
kzSE6XTsnug,Data Slicing in Python with Mito,2021-08-03,2790,90,17
OkxiQZZbKBg,What if Data Science was a Building Block? (Dolphyn),2021-07-31,2312,97,13
BlPmYyEBmQ0,How I Use Notion as a Professor and Content Creator in Data Science (Template Included),2021-07-28,7838,228,29
IdGyLUsVgIc,AlphaFold 2 Learns the Entire Human Proteome (AlphaFold Protein Structure Database),2021-07-25,4307,183,14
4gNg88cvnHE,Data Science Podcast with Nate at StrataScratch,2021-07-23,1341,66,1
0WUHmRKpwVY,AlphaFold 2 Paper with Code,2021-07-20,11168,338,38
Vg4JLbxVuFA,How to handle missing data with Pandas,2021-07-16,2235,101,12
sepml4GLLSM,How to build a Portfolio website that supports Jupyter notebooks using fastpages,2021-07-13,7254,222,35
Ge17mZe54dY,How to Build a Machine Learning Model Performance Calculator App,2021-07-10,5077,156,18
rEmDyZHz5U8,How to build machine learning models for drug discovery using PaDELPy,2021-07-05,7886,211,34
oPFs-lOLumE,How to handle missing data in R (Ft. @StatisticsGlobe),2021-07-02,2837,115,25
3AqQn94KVZU,Data Science for Bioinformatics,2021-06-27,13259,475,47
aoTExfJG0mY,AutoPlotter - A GUI based Exploratory Data Analysis in Python,2021-06-26,5014,225,32
AeUnO1oNv08,How to Master Python for Data Science,2021-06-21,6829,291,31
z9J78rxhcrQ,How to Create Animated Plots in R,2021-06-20,5976,194,20
3jxSW8wJKrc,Who is @KenJee_ds? (Data science and Sports analytics),2021-06-17,1616,67,12
eyihOXKdVP4,Exploratory Data Analysis in Python using Mito,2021-06-11,3668,137,15
6NXLGP65S2Q,How to Build a Simple Portfolio Website for FREE,2021-06-04,8846,314,35
4SivdTLIwHc,How to handle imbalanced datasets in Python,2021-05-28,26449,788,91
LHM0Couv0w4,How to Build Bioinformatics Tools,2021-05-21,32983,1028,69
vEuGCuCdPDo,My thoughts and review of the Google Data Analytics Professional Certificate,2021-05-19,13114,353,100
C6gBcL9sAIw,How to paraphrase text in Python using the PARROT library (Ft. @KenJee_ds),2021-05-16,10280,284,61
yKPMetjQqsk,How to make a Histogram plot in Python using Matplotlib | Ft.@CodingProfessor,2021-05-14,5155,95,21
ixOv3AGFMmI,Ep. 2 How to create a finance web app in 1 minute using Streamlit #shorts,2021-05-11,10530,375,10
iPj6QKMd8qA,Ep. 1 How to create your first Streamlit web app in 1 minute #shorts,2021-05-09,14590,516,16
FwzKda14hWo,How to create and share beautiful images of your source code with CARBON #shorts,2021-05-08,4893,200,9
hElj6cp4Dzs,Data science in Psychology - Gaining insights on the Big 5 Personality Traits (Ft. Minhaaj Rehman),2021-05-07,5084,195,25
0rqIwSeUImo,How to build a web app for Drug Discovery in Python | Streamlit #26,2021-05-05,5418,133,32
zqi51Wu5qC0,How to easily perform statistical analysis in Python with the Pengouin library,2021-05-02,5885,243,21
jYlwwNycVh8,How to quickly explore data in Python using the D-Tale library,2021-04-29,12550,440,44
K2HrKyK0Ip4,How to use Mito for pre-processing datasets in Python (low code approach),2021-04-26,2480,94,26
v2M4AEOb3MM,How to deploy machine learning model as an app in Python using Gradio,2021-04-23,10565,301,37
2gtlSLCTHH0,How to build a Currency Converter App | Streamlit #25,2021-04-19,3535,118,23
0BGLfYY26zQ,How to stack machine learning models in Python,2021-04-16,20270,687,73
PaZAUpOKUvA,My thoughts on web frameworks in Python and R (PyWebIO vs Streamlit vs R Shiny),2021-04-15,11628,197,43
n6I58WJiKGU,How to build your first simple web application in Python with PyWebIO,2021-04-13,71763,861,56
9o01PkURel4,How to create variables and lists in R | R Tutorial #4,2021-04-11,2493,52,13
zGK9ZfvRRoM,How to paraphrase text in Python using transformers,2021-04-09,12634,319,48
HhYUemO87Cs,Learn about the R Data Types | R Tutorial #3,2021-04-06,1372,60,7
Hfry5XnISyc,Easy webscraping in Python,2021-04-04,5148,260,30
gc2zh9pBNKs,How to install R packages | R Tutorial #2,2021-04-02,1278,42,26
cDPFWbjg8Tc,How to set up the R programming environment | R Tutorial #1,2021-03-31,5074,125,52
3xJYP_C4KNE,How to customize the themes of your Streamlit web apps | Streamlit #24,2021-03-28,13183,198,39
jClM6Sbx7go,NVIDIA GTC21 (The AI Conference) is FREE + Course Giveaway,2021-03-25,2348,103,104
xt4hrtG4t3s,How to build an app for combining the contents of multiple spreadsheets | Streamlit #23,2021-03-22,4975,131,27
ZgypAMRcmw8,Quickly build Explainable AI dashboards in Python (explainerdashboard library),2021-03-19,11941,397,38
TaNfYKaid80,Making Sense of Data with Explainable AI (shapash Python library),2021-03-16,5593,287,28
aiyOa3n1Bwc,How to Run Data Science Projects on the Cloud with Code Ocean (Reproducible Data Science),2021-03-13,3345,107,21
m0sePkuyTKs,Bioinformatics Project from Scratch - Drug Discovery #6 (Deploy Model as Web App) | Streamlit #22,2021-03-12,11004,225,65
I9ZdV561NxM,A Peek into the Google Professional Certificate in Data Analytics (and IT Support),2021-03-08,7137,248,52
9LuZWQgHJ5Q,How to effortlessly work with spreadsheets in Python using MITO,2021-03-06,8596,344,25
gKCDSiRRyUo,How to examine chance prediction of a machine learning model (Y-Scrambling / Y-Permutation),2021-03-02,1835,79,15
htBIP17S-20,How to build a Bioinformatics web app (Molecular Descriptor Calculator) in Python | Streamlit #21,2021-02-25,7429,185,33
0pHJOzNDdOo,How to build a Stock price web app in Python | Streamlit #20,2021-02-21,15755,406,65
p4uohebPuCg,How to build an Exploratory Data Analysis app using Pandas Profiling | Streamlit #19,2021-02-07,16242,554,56
4UCfxvURjgI,How to build an Avatar maker app in 20 minutes (Python weekend project) | Streamlit #18,2021-02-03,11174,276,50
ApxEBGbqTyQ,How to Build Your Own AutoML App | Streamlit #17,2021-01-31,9602,303,76
nSw96qUbK9o,How to Make a Multi-Page Web App | Streamlit #16,2021-01-28,42176,694,89
9a234-OvbIQ,Let#39;s Build a Pomodoro Web App for Data Science | Streamlit #15,2021-01-26,5664,167,23
FoRsn1VwEbA,Bioinformatics Project from Scratch - Drug Discovery Part 5 (Compare Models),2021-01-22,9527,266,70
inGjY4cds3Q,Vaex - Fast data frame for Data Science (Handle billion rows in seconds),2021-01-19,12711,478,89
ZdDUwlwJNi0,How to compare machine learning classifiers in 2 lines of code (lazypredict Python library),2021-01-16,9023,436,58
FG68qNVZF2s,How NVIDIA NGC can be used for Data Science (Podcast + Giveaway),2021-01-13,2320,81,49
8zm4L3rVreI,Progress Bars for Tracking the Progress of Data Science Workflow (Tqdm Python library),2021-01-09,9971,274,40
URjJVEeZxxU,How to Speed Up Data Cleaning and Exploratory Data Analysis in Python with klib,2021-01-06,7643,416,62
HT2WHLgYpxY,How to Build a Machine Learning Hyperparameter Optimization App | Streamlit #14,2021-01-03,6566,218,25
9Ot78EHfLNE,Could this be the Best Data Science Notebook? (Deepnote),2020-12-31,14453,386,63
eT3JMZagMnE,How to Build a Machine Learning App | Streamlit #13,2020-12-28,18527,565,67
1tUS4Ynhpx0,Learn AI for FREE (Elements of AI),2020-12-26,4629,193,32
B5dpSv3YYZ8,BCG Data Science amp; Advanced Analytics Virtual Experience Program,2020-12-25,6038,223,45
Qs0V5ntEWWQ,Explainable AI in Python with LIME (Ft. Diogo Resende),2020-12-24,3768,127,20
NRnaMCNOK7Y,How to Build a Machine Learning Model,2020-12-23,37581,983,60
GJYwiWI1AWw,How to use Spreadsheet in Python with Mito,2020-12-18,8703,327,37
XyJyJf0o53Y,Build AI Apps with H2O Wave (from H2O.ai),2020-12-16,7011,194,17
9hxuXzrCRz8,The Data Science Process - A Visual Guide (Part 2),2020-12-16,5195,184,23
s4uF8UOJz9k,The Data Science Process - A Visual Guide (Part 1),2020-12-14,18013,492,27
xDMzOUUnNzw,Machine Learning for Drug Discovery (Explained in 2 minutes),2020-12-12,39727,1348,80
kzB9QLYdnC0,Talking with Founders / Developers of MITO Python Library | Data Science Podcast,2020-12-09,1573,60,17
14hjvefbmLM,Deepmind#39;s Alphafold2 Solves Protein Structures (Part 2) #shorts,2020-12-07,6257,195,16
QsLhxW3DkBQ,Deepmind#39;s Alphafold2 Solves Protein Structures (Part 1) #shorts,2020-12-06,7525,221,25
tM2UFd3jeyg,How to Perform Data Splitting (Weka Tutorial #5),2020-12-02,6606,145,18
uRCy5t1Gp7k,Level Up Your Data Science Skills #shorts,2020-11-26,5355,285,26
aJ2cOKVAqV8,Kite: Free AI Coding Assistant + Giveaway,2020-11-23,15225,274,137
62LaqVlDT3E,Want Access to a High-Performance Jupyter Notebook? BlazingSQL Notebooks (Powered by NVIDIA GPUs),2020-11-21,5418,216,50
UR_OK8vBpeY,How to Quickly Perform Exploratory Data Analysis (EDA) in Python using Sweetviz,2020-11-19,17361,780,65
3NW_gGFikLI,Building a Classification Model of the Penguins Data using Visual Programming (Orange Tutorial #2),2020-11-17,2085,65,10
hfMLZyWXBjI,How to Build your First Classification Model using Visual Programming (Orange Tutorial #1),2020-11-14,22940,407,31
BbOV33C5oJg,Ask Me Anything About Bioinformatics #3,2020-11-11,1169,46,34
BSU8wkM9FAE,Ask Me Anything About Bioinformatics #2,2020-11-07,1543,61,33
uBDbbFUTioI,How to Build Classification Models for the Penguins Dataset (Weka Tutorial #3),2020-11-06,5607,150,29
uzxeVlLzL4c,This Book will Help you Land a Data Science Job,2020-11-05,10046,441,69
iIe9dnvX8BE,How to Build Classification Models (Weka Tutorial #2),2020-11-04,23608,505,28
js4iaGQvTAo,Spreadsheets in Python with Mito library,2020-11-02,3607,176,22
t5mylGHE2Fg,How to Build Regression Models (Weka Tutorial #1),2020-11-01,51479,1438,120
F8mSlETrcl8,How to use PandasGUI for Exploratory Data Analysis and Data Science,2020-10-31,19844,763,78
TgtvEAKsK5I,Building a No-Code Machine Learning Application (for Computer Vision) with Microsoft#39;s Lobe,2020-10-29,11317,370,44
SEyDhbFpdps,How to Become a Data Analyst (Featuring @howtogetananalyticsjob336),2020-10-28,1557,85,12
FQQ3X9OxxJ0,Ask Me Anything About Bioinformatics #1,2020-10-24,16047,611,112
OYsz4Ww0h3o,How to Build a Cryptocurrency Price Web App - Streamlit Tutorial #12,2020-10-19,9337,177,55
kXvmqg8hc70,How to Deploy Data Science Web App to Streamlit Sharing - Streamlit Tutorial #11,2020-10-17,38709,781,71
Jf8AtWb7dzw,Probably the Best Platform to Find Online Courses in Data Science (FREE),2020-10-15,3583,147,12
zYSDlbr-8V8,How to Build a Football Data Web App in Python | Streamlit #9,2020-10-06,21973,503,42
0dhFo4sOUIs,Learn about Artificial Intelligence Use Cases from YouTube Originals,2020-10-03,1946,77,19
DD9tgg8ivbU,How to Build a Simple Bioinformatics Web App in Python | Streamlit #8,2020-09-30,7071,167,31
zYSDlbr-8V8,How to Build a Football Data Web App in Python | Streamlit #9,2020-10-06,21973,503,42
0dhFo4sOUIs,Learn about Artificial Intelligence Use Cases from YouTube Originals,2020-10-03,1946,77,19
DD9tgg8ivbU,How to Build a Simple Bioinformatics Web App in Python | Streamlit #8,2020-09-30,7071,167,31
Vbgo03Se9ic,Learn Deep Learning from NVIDIA,2020-09-28,15268,347,66
OBsxUjQ7Ua0,How to Become a Data Scientist at FAANG (Ft. Tina Huang),2020-09-26,3932,172,30
suLsbP1ZAC8,Learn Data Science with Medium.com,2020-09-21,5802,158,34
iZUH1qlgnys,Building a Bioinformatics Web App in Python | Streamlit #7,2020-09-16,13202,325,58
zGMo7pC1F1g,Data Science in Industry (Ft. RichardOnData),2020-09-12,1244,62,24
ZFsbA4e910I,Learn Python for Data Science (with Real Python),2020-09-09,4530,184,25
qN8jcUmo8TI,How to Harness GPU to Speed Up Machine Learning with Hummingbird-ML,2020-09-04,2379,118,34
vCBeGLpvoYM,Tons of FREE Data for Data Science (TidyTuesday),2020-09-03,7980,228,38
8VYvwrAik6w,Facebook Field Guide to Machine Learning (FREE Course in Data Science),2020-08-29,9645,301,36
NthyaMXeMrw,GPU Computing for Data Science (Unboxing NVIDIA TITAN RTX),2020-08-27,4856,128,50
o36iNQD6y3Q,1 Year on YouTube as the Data Professor (Data Science YouTube Channel),2020-08-23,1652,93,62
z5HfbXORZsg,How to Build a Boston Housing Price Prediction Web App in Python | Streamlit #6,2020-08-21,12611,372,68
Mbe3T2iHbbA,Amazon#39;s Machine Learning University (FREE Courses in Data Science),2020-08-18,58494,1548,88
RGfeGRt32Dk,Data Science for Computational Drug Discovery using Python (Part 2 with PyCaret),2020-08-09,9872,322,66
vgM16UvHbZQ,Learn Data Science for FREE with Machine Learning Mastery,2020-08-02,11652,326,34
EC53ftrYf9A,Web Apps in R: How to Deploy R Shiny web app to Heroku | Shiny Tutorial Ep 6,2020-07-26,9885,353,68
6oHl7hNWn2o,Learn Bioinformatics through Coding on ROSALIND Platform,2020-07-18,8236,356,34
wGaGm0sj04M,Bioinformatics Project from Scratch - Drug Discovery Part 4 (Model Building),2020-07-13,11583,356,127
gbOvtkIH5sQ,FREE Online Courses in Data Science from Harvard University,2020-07-10,33930,1191,123
xiBXspqs0dk,How to Build a Basketball Player Data Explorer Web App in Python | Streamlit #5,2020-07-07,14011,363,52
iz0lqfLJSgA,Data Science Virtual Internship - Part 12 (Data Science amp; AI at Y Combinator),2020-07-05,3574,141,46
A5c7FQGJlf8,Data Science Interview (Tips and Tricks) [Ft. Data Science Jay],2020-07-03,1574,79,15
zK4Ch6e1zq8,How to Deploy Data Science Web App to Heroku | Streamlit #4,2020-06-30,34739,1003,172
iBQlukGBZ78,FREE Machine Learning Crash Course from Google,2020-06-28,16619,777,89
Eai1jaZrRDs,How to Build a Penguin Classification Web App in Python | Streamlit #3,2020-06-25,27450,833,93
6kD2OzF2uoU,Penguins Dataset as Alternative to Iris Dataset for Data Science,2020-06-23,3416,94,24
ddFskLtQsbI,"Data Science Portfolio Tips | Discussion with Ken Jee, Krish Naik, Codebasics and Data Professor",2020-06-21,13221,540,61
RIgtCsj7KTY,Data Science Virtual Internship - Part 11 (Quantium Data Analytics Program),2020-06-19,10787,231,51
1JtTS0xfkvg,Wrangle and Explore Data with PANDAS-UI for Data Science,2020-06-17,16264,377,60
EuZccF96qto,Data Science Virtual Internship - Part 10 (Data@ANZ Program),2020-06-15,3632,159,34
8M20LyCZDOY,How to Build a Simple Machine Learning Web App in Python - Streamlit Tutorial #2,2020-06-12,60565,2051,171
